task,trial,score,model,sig_layout,sig_visual,sig_component,sig_text,sig_style
auth_glassy-001,auth_glassy-001__2ZoPp4d,0.6346247461598404,anthropic/claude-opus-4-7,0.4652593539348595,0.6580445721019005,0.7096856171201203,0.8497354524507534,0.5947860350313279
auth_glassy-001,auth_glassy-001__7e5Xtvk,0.6862140224585608,anthropic/claude-opus-4-7,0.6359167254545587,0.6443420479125723,0.8405284422790444,0.8622123804703103,0.33778862797975046
auth_glassy-001,auth_glassy-001__7kA7HoU,0.7184693026211145,anthropic/claude-opus-4-7,0.6385721611457171,0.6608702473706392,0.8474247245265928,0.8720432142080214,0.5854074983204751
auth_glassy-001,auth_glassy-001__Jg8cbCH,0.7386674270381396,anthropic/claude-opus-4-7,0.6069721243016746,0.6556754831629158,0.8658042255892109,0.8506788558014464,0.891770608298069
auth_glassy-001,auth_glassy-001__S3ynYML,0.730260410604565,anthropic/claude-opus-4-7,0.6396913732557085,0.677670265216165,0.830915661505957,0.8714436161017073,0.6822099445369028
auth_glassy-001,auth_glassy-001__TDUbggw,0.7405232784957895,anthropic/claude-opus-4-7,0.604481035477872,0.6753896574508181,0.8102492516070559,0.9010125302596632,0.9080289137427702
auth_glassy-001,auth_glassy-001__TTRQvL8,0.6783751464426006,anthropic/claude-opus-4-7,0.6275251604623834,0.543063203756539,0.8627168703422426,0.876957907632359,0.4890272724753907
auth_glassy-001,auth_glassy-001__a24UxZs,0.6442308051354421,anthropic/claude-opus-4-7,0.6124136506364392,0.5167325181816996,0.8427215622804632,0.8588965507363435,0.31575719630930604
auth_glassy-001,auth_glassy-001__oFWE4MP,0.8028930741100476,anthropic/claude-opus-4-7,0.7160333956893878,0.6666896939974243,0.9155071390518237,0.9478235810768384,0.9287716599442728
auth_glassy-001,auth_glassy-001__oeYqhdN,0.6973674683730614,anthropic/claude-opus-4-7,0.6723950907865347,0.6528305047906406,0.7985509284764648,0.864810721305295,0.39388072968715165
dashboard_dense-001,dashboard_dense-001__3XfE4Ex,0.5967447481093285,anthropic/claude-opus-4-7,0.5656879960373264,0.5332782057837212,0.7772684190702885,0.8841155243980201,0.03512794157934475
dashboard_dense-001,dashboard_dense-001__FTYMxe3,0.617881529295514,anthropic/claude-opus-4-7,0.5994417868424115,0.5326012878657883,0.8474452653836625,0.8601260614447895,0.03701128306710521
dashboard_dense-001,dashboard_dense-001__ZNSYYJJ,0.5621785994404133,anthropic/claude-opus-4-7,0.5703568191100219,0.5942514010682063,0.7682818567102633,0.5684426146094956,0.03413049313733558
dashboard_dense-001,dashboard_dense-001__ZysgomY,0.5713337210402821,anthropic/claude-opus-4-7,0.5709817079435849,0.574887289488968,0.8133995369432458,0.595320249233488,0.034386253617088226
dashboard_dense-001,dashboard_dense-001__cBu4GKZ,0.5581324277494932,anthropic/claude-opus-4-7,0.5915519169360091,0.5520543041862092,0.782105245695461,0.5454941865475271,0.034062170125338
dashboard_dense-001,dashboard_dense-001__icSNZtZ,0.6334958889441235,anthropic/claude-opus-4-7,0.5983216402893027,0.6060683786144666,0.8385106354480224,0.8772898862247133,0.03419628840183426
dashboard_dense-001,dashboard_dense-001__kqmG8yo,0.6106859164717576,anthropic/claude-opus-4-7,0.6223110830452945,0.5702445043312746,0.7790293255542231,0.5794442351996882,0.3795602957334746
dashboard_dense-001,dashboard_dense-001__nC9Sm9F,0.5779191542963836,anthropic/claude-opus-4-7,0.6077393543030208,0.5755915474943878,0.7937921006948787,0.5886816363591956,0.03427218237424692
dashboard_dense-001,dashboard_dense-001__srAQf2P,0.6933830076216858,anthropic/claude-opus-4-7,0.5493794472010985,0.5677539637370415,0.7885107220779166,0.8514815916499976,0.9994269425293331
dashboard_dense-001,dashboard_dense-001__ymiVXHw,0.6098223899915332,anthropic/claude-opus-4-7,0.5746274809057969,0.5388267675899554,0.8482707945199525,0.8548403134110196,0.034059378456476073
docs_mono-001,docs_mono-001__NGygEtr,0.6920967184799814,anthropic/claude-opus-4-7,0.6471807754865291,0.5101627427459043,0.858469736851058,0.7808641411695025,0.8160646134773217
docs_mono-001,docs_mono-001__PgyeJBq,0.5182340966203626,anthropic/claude-opus-4-7,0.5362909150794846,0.4792071262018501,0.769725713022604,0.47842124137025505,0.11574159796879566
docs_mono-001,docs_mono-001__QgiFEeB,0.712042658645752,anthropic/claude-opus-4-7,0.637742265794368,0.5227935831253201,0.8445071534239195,0.9180262842288638,0.8241559565313401
docs_mono-001,docs_mono-001__YVvWfJZ,0.6897431287548507,anthropic/claude-opus-4-7,0.5763965674805083,0.5002592991989901,0.864454404390012,0.8436964913966587,0.9106733108786806
docs_mono-001,docs_mono-001__ZnKpp24,0.6453142502825592,anthropic/claude-opus-4-7,0.6529455083023485,0.5386478405344495,0.8245974534212918,0.9263237782677093,0.09563860089400343
docs_mono-001,docs_mono-001__gSCdEMD,0.7147700277775136,anthropic/claude-opus-4-7,0.6302218555887797,0.5108741860332803,0.8746049278594682,0.9239984247602386,0.8354824294797801
docs_mono-001,docs_mono-001__iHUUnig,0.7351744520146238,anthropic/claude-opus-4-7,0.653837419043402,0.5071731978642152,0.8858588070667864,0.9360267931210442,0.9180152358034435
docs_mono-001,docs_mono-001__s7DvUJh,0.7029888083298564,anthropic/claude-opus-4-7,0.6121457951102728,0.5290278740795507,0.8367160307657977,0.90748089445034,0.8275597411202171
docs_mono-001,docs_mono-001__wCdywS6,0.7296955021415878,anthropic/claude-opus-4-7,0.6247973322230059,0.538978780214958,0.8581617721865458,0.9092628177715169,0.9839219446899996
docs_mono-001,docs_mono-001__z2BNiR2,0.6266291895787747,anthropic/claude-opus-4-7,0.6285386344482283,0.5300984201220461,0.8142804418909511,0.8989683131802977,0.06799362345330845
ecom_pastel-001,ecom_pastel-001__3YGm8um,0.6829695436860993,anthropic/claude-opus-4-7,0.5556550377896515,0.6129802350079048,0.7756466482035564,0.716334220322818,0.9931926464218582
ecom_pastel-001,ecom_pastel-001__54VJTSY,0.6709215814062263,anthropic/claude-opus-4-7,0.5534720988237959,0.6150805558842172,0.7107314059116666,0.7235078150753268,0.9924631140268164
ecom_pastel-001,ecom_pastel-001__A2bxvcC,0.6738866421860217,anthropic/claude-opus-4-7,0.5448831274491305,0.6243917079571172,0.7348780618999844,0.7105323037000744,0.9951732752103566
ecom_pastel-001,ecom_pastel-001__BCZRWNq,0.6753683993444639,anthropic/claude-opus-4-7,0.5432744206113873,0.614502984057564,0.7649151276424137,0.7019852198574014,0.9954433231041988
ecom_pastel-001,ecom_pastel-001__DJbwF7S,0.684131652861318,anthropic/claude-opus-4-7,0.5483303652253455,0.630031954484066,0.7711113341990364,0.7146437720959126,0.9938421452547944
ecom_pastel-001,ecom_pastel-001__TtW5ZDG,0.6792297904354708,anthropic/claude-opus-4-7,0.549211867332273,0.6030941851555947,0.770132734197519,0.730943498545615,0.9932456769282432
ecom_pastel-001,ecom_pastel-001__hWoiL3W,0.6376064255852916,anthropic/claude-opus-4-7,0.45734629775931,0.6107074712017191,0.7151558303985347,0.6985514471236446,0.989560464541568
ecom_pastel-001,ecom_pastel-001__pDD4bky,0.6703020719649676,anthropic/claude-opus-4-7,0.5535784339562718,0.6137774714914417,0.727766992460467,0.6985800819025955,0.9946126268490934
ecom_pastel-001,ecom_pastel-001__wXjTuEu,0.6717618618036559,anthropic/claude-opus-4-7,0.5258526074581684,0.6327333589756896,0.7307376934021335,0.7257339237160225,0.9972109996315841
ecom_pastel-001,ecom_pastel-001__yHnSHXC,0.6766196458138248,anthropic/claude-opus-4-7,0.5137823116065874,0.6292642053058387,0.784990862113344,0.7192696066956317,0.9937769218365646
editorial_serif-001,editorial_serif-001__PQKA7P4,0.6822085205556552,anthropic/claude-opus-4-7,0.5751051860979091,0.4548655817276887,0.8174320944211654,0.8878041713376579,0.9752205972386131
editorial_serif-001,editorial_serif-001__PW8TkHU,0.7004461569555093,anthropic/claude-opus-4-7,0.6506283877821182,0.45221975160423145,0.8061128557540442,0.8698459505542552,0.9827390295934655
editorial_serif-001,editorial_serif-001__QoZZTak,0.6741334799213733,anthropic/claude-opus-4-7,0.5691236776939639,0.45584923559170815,0.8134443490875106,0.8430745970635842,0.9860409526075659
editorial_serif-001,editorial_serif-001__RJLf8wb,0.560375593510754,anthropic/claude-opus-4-7,0.4678693998703708,0.4224529665645327,0.7927781751801973,0.38579231994208407,0.970106030233717
editorial_serif-001,editorial_serif-001__SAyE6gA,0.563142433646425,anthropic/claude-opus-4-7,0.48775363279902756,0.4261919786973903,0.770431915959341,0.3737078174639817,0.9880935674323084
editorial_serif-001,editorial_serif-001__kZi8cwY,0.7073756799977754,anthropic/claude-opus-4-7,0.6485076969452029,0.47123145870433636,0.823108012821679,0.862527682722854,0.9886957411861648
editorial_serif-001,editorial_serif-001__mggsrpv,0.6890126420372039,anthropic/claude-opus-4-7,0.5868886852322283,0.48633633048342895,0.7788398380829115,0.9039782406436664,0.9810888711073693
editorial_serif-001,editorial_serif-001__rKaVZFk,0.6524410684928014,anthropic/claude-opus-4-7,0.562428149985579,0.4571002258551043,0.7053715713619659,0.8571308319911474,0.9853373355550775
editorial_serif-001,editorial_serif-001__ubivHte,0.5696345991748951,anthropic/claude-opus-4-7,0.5398088746299681,0.42119545109734047,0.7218650162431771,0.3863911203497603,0.9865925600088278
editorial_serif-001,editorial_serif-001__xH8pFY5,0.5178918875599465,anthropic/claude-opus-4-7,0.518956224869087,0.46149363278046857,0.7382711294084894,0.3640436057632613,0.44241943680350965
portfolio_neobrut-001,portfolio_neobrut-001__8M5Lu6R,0.6163591573574467,anthropic/claude-opus-4-7,0.6181820704504604,0.22655180041149534,0.746009659772756,0.8408166455676233,0.9814284509176748
portfolio_neobrut-001,portfolio_neobrut-001__DVUzoFL,0.5577516330202847,anthropic/claude-opus-4-7,0.6365814333357941,0.22819954829980926,0.7839186046754464,0.8498064225991935,0.24232271036436603
portfolio_neobrut-001,portfolio_neobrut-001__DW2oc6E,0.502706728980871,anthropic/claude-opus-4-7,0.5466375801242538,0.20968666871722555,0.6897026359646925,0.38134221818653363,0.9143911220925871
portfolio_neobrut-001,portfolio_neobrut-001__Jy6wLSu,0.6051971872679379,anthropic/claude-opus-4-7,0.5711966764645162,0.2391656531938403,0.7566685805581774,0.8304712176544524,0.9773275284202724
portfolio_neobrut-001,portfolio_neobrut-001__XNF32Gd,0.5691397248600345,anthropic/claude-opus-4-7,0.6636943738987225,0.24250356240650536,0.779271085260118,0.8449830403937625,0.2628046522123538
portfolio_neobrut-001,portfolio_neobrut-001__a5au924,0.5243358540521106,anthropic/claude-opus-4-7,0.5539217069317633,0.21731676362332297,0.7484729151132603,0.393115933539289,0.9581202753250323
portfolio_neobrut-001,portfolio_neobrut-001__cRiTsPt,0.5057646910398886,anthropic/claude-opus-4-7,0.5089749839849387,0.18564778879357394,0.7711931421893978,0.3985667958324027,0.9238389014851496
portfolio_neobrut-001,portfolio_neobrut-001__doPtWNm,0.5837379095943511,anthropic/claude-opus-4-7,0.6951994046425414,0.21077040887002307,0.7910332997456053,0.8619124688872304,0.3390869641562653
portfolio_neobrut-001,portfolio_neobrut-001__ixHJ6wW,0.523171266166106,anthropic/claude-opus-4-7,0.5757753118883461,0.21331629999865315,0.7241657805194485,0.4010643570876089,0.9282829130185978
pricing_dark-001,pricing_dark-001__8kiHKFv,0.7035545245453765,anthropic/claude-opus-4-7,0.6570590600821348,0.5321571482538193,0.8399245371878118,0.6941094515942177,0.9994265825460958
pricing_dark-001,pricing_dark-001__EtRaT5s,0.6729817808370422,anthropic/claude-opus-4-7,0.5821046690636035,0.5505257000859287,0.8056852953887806,0.6754416666768579,0.9683791726986843
pricing_dark-001,pricing_dark-001__Hr2eY6f,0.670177434643071,anthropic/claude-opus-4-7,0.61427029260923,0.5255254516360005,0.7613725671897804,0.6720195813048624,0.9981112108845885
pricing_dark-001,pricing_dark-001__PswYH8E,0.6946617137495102,anthropic/claude-opus-4-7,0.6495253872932081,0.5250197434401636,0.8253965301964145,0.6796865096041534,0.9992908768508555
pricing_dark-001,pricing_dark-001__QXqp4qN,0.761383707396145,anthropic/claude-opus-4-7,0.7556159158876699,0.5585943992220131,0.8168770614038485,0.8663514214439935,0.9982261046585879
pricing_dark-001,pricing_dark-001__Z2DZUMs,0.6967723751361644,anthropic/claude-opus-4-7,0.6415796451473804,0.5572706523698296,0.8072842972187956,0.6818877946708721,0.9993325887497995
